month,symbol,date,rule,ret,tp_hit
2023-12,LXRX,2023-12-28,60d/sub$1.5/$1.50-$1.80/+50%/90d,0.48,True
2023-12,SWAG,2023-12-04,60d/sub$1.5/$1.50-$1.80/+50%/90d,-0.1676510067114094,False
2023-12,ONDS,2023-12-27,60d/sub$1.5/$1.50-$1.80/+50%/90d,-0.4576712328767124,False
2024-01,GGRP,2024-01-08,30d/sub$1.5/$1.50-$1.80/+30%/90d,-0.2858227848101267,False
2024-01,AKBA,2024-01-04,30d/sub$1.5/$1.50-$1.80/+30%/90d,0.28,True
2024-01,CNVS,2024-01-23,30d/sub$1.5/$1.50-$1.80/+30%/90d,0.28,True
2024-01,AHG,2024-01-24,30d/sub$1.5/$1.50-$1.80/+30%/90d,0.28,True
2024-01,TMC,2024-01-09,30d/sub$1.5/$1.50-$1.80/+30%/90d,0.28,True
2024-01,TRVI,2024-01-26,30d/sub$1.5/$1.50-$1.80/+30%/90d,0.28,True
2024-01,ZTEK,2024-01-08,30d/sub$1.5/$1.50-$1.80/+30%/90d,-0.2732051282051282,False
2024-01,ONMD,2024-01-30,30d/sub$1.5/$1.50-$1.80/+30%/90d,0.28,True
2024-01,SPRO,2024-01-02,30d/sub$1.5/$1.50-$1.80/+30%/90d,0.07333333333333326,False
2024-01,NAGE,2024-01-10,30d/sub$1.5/$1.50-$1.80/+30%/90d,0.28,True
2024-01,LAES,2024-01-09,30d/sub$1.5/$1.50-$1.80/+30%/90d,0.28,True
2024-01,IKT,2024-01-12,30d/sub$1.5/$1.50-$1.80/+30%/90d,0.28,True
2024-01,OGI,2024-01-11,30d/sub$1.5/$1.50-$1.80/+30%/90d,0.28,True
2024-02,CCLD,2024-02-20,30d/sub$1.5/$1.50-$2.00/+30%/60d,0.28,True
2024-02,FEMY,2024-02-27,30d/sub$1.5/$1.50-$2.00/+30%/60d,0.28,True
2024-02,CRDL,2024-02-20,30d/sub$1.5/$1.50-$2.00/+30%/60d,0.28,True
2024-02,GRNQ,2024-02-15,30d/sub$1.5/$1.50-$2.00/+30%/60d,-0.24077922077922084,False
2024-02,CXAI,2024-02-15,30d/sub$1.5/$1.50-$2.00/+30%/60d,0.28,True
2024-02,EQ,2024-02-08,30d/sub$1.5/$1.50-$2.00/+30%/60d,0.28,True
2024-02,CADL,2024-02-13,30d/sub$1.5/$1.50-$2.00/+30%/60d,0.28,True
2024-02,AENT,2024-02-08,30d/sub$1.5/$1.50-$2.00/+30%/60d,0.28,True
2024-02,PDYN,2024-02-27,30d/sub$1.5/$1.50-$2.00/+30%/60d,0.28,True
2024-02,LPTH,2024-02-02,30d/sub$1.5/$1.50-$2.00/+30%/60d,-0.13250000000000003,False
2024-02,RGTI,2024-02-15,30d/sub$1.5/$1.50-$2.00/+30%/60d,0.28,True
2024-02,POET,2024-02-27,30d/sub$1.5/$1.50-$2.00/+30%/60d,0.28,True
2024-02,RZLT,2024-02-22,30d/sub$1.5/$1.50-$2.00/+30%/60d,0.28,True
2024-02,QTEX,2024-02-27,30d/sub$1.5/$1.50-$2.00/+30%/60d,0.28,True
2024-02,PGEN,2024-02-26,30d/sub$1.5/$1.50-$2.00/+30%/60d,-0.12322580645161295,False
2024-02,PRPL,2024-02-15,30d/sub$1.5/$1.50-$2.00/+30%/60d,0.28,True
2024-02,NRSN,2024-02-27,30d/sub$1.5/$1.50-$2.00/+30%/60d,-0.3349171270718232,False
2024-03,GOSS,2024-03-06,30d/sub$1.5/$1.50-$2.00/+20%/60d,-0.629271523178808,False
2024-03,AACG,2024-03-06,30d/sub$1.5/$1.50-$2.00/+20%/60d,-0.41198717948717956,False
2024-03,BZFD,2024-03-11,30d/sub$1.5/$1.50-$2.00/+20%/60d,0.17999999999999997,True
2024-03,BFRI,2024-03-13,30d/sub$1.5/$1.50-$2.00/+20%/60d,0.17999999999999997,True
2024-03,BYSI,2024-03-01,30d/sub$1.5/$1.50-$2.00/+20%/60d,0.17999999999999997,True
2024-03,CNTB,2024-03-27,30d/sub$1.5/$1.50-$2.00/+20%/60d,0.17999999999999997,True
2024-03,ENTX,2024-03-04,30d/sub$1.5/$1.50-$2.00/+20%/60d,0.17999999999999997,True
2024-03,TMC,2024-03-07,30d/sub$1.5/$1.50-$2.00/+20%/60d,0.17999999999999997,True
2024-03,RKTO,2024-03-21,30d/sub$1.5/$1.50-$2.00/+20%/60d,-0.4564634146341463,False
2024-03,RMTI,2024-03-01,30d/sub$1.5/$1.50-$2.00/+20%/60d,0.17999999999999997,True
2024-03,SLS,2024-03-14,30d/sub$1.5/$1.50-$2.00/+20%/60d,0.17999999999999997,True
2024-03,MIRA,2024-03-08,30d/sub$1.5/$1.50-$2.00/+20%/60d,0.17999999999999997,True
2024-03,OCGN,2024-03-22,30d/sub$1.5/$1.50-$2.00/+20%/60d,-0.2820320855614974,False
2024-03,JVA,2024-03-27,30d/sub$1.5/$1.50-$2.00/+20%/60d,0.17999999999999997,True
2024-03,SNDL,2024-03-20,30d/sub$1.5/$1.50-$2.00/+20%/60d,0.17999999999999997,True
2024-03,MTEK,2024-03-25,30d/sub$1.5/$1.50-$2.00/+20%/60d,-0.1627210884353741,False
2024-03,LASE,2024-03-05,30d/sub$1.5/$1.50-$2.00/+20%/60d,0.17999999999999997,True
2024-04,HLP,2024-04-25,30d/sub$1.5/$1.50-$2.00/+20%/90d,0.17999999999999997,True
2024-04,CNTX,2024-04-11,30d/sub$1.5/$1.50-$2.00/+20%/90d,0.17999999999999997,True
